小区名,价格/万,地区,0,房屋户型,1,所在楼层,2,建筑面积,3,户型结构,4,套内面积,5,建筑类型,6,房屋朝向,7,建筑结构,8,装修情况,9,梯户比例,10,配备电梯,,,,,,,,,,,,,
保利时代,170,['金湾区'],,3室2厅1厨2卫,,高楼层(共15层),,92.62㎡,,平层,,74.03㎡,,板塔结合,,南北,,框架结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
嘉珠时代广场,115,['金湾区'],,3室2厅1厨1卫,,中楼层(共19层),,97.75㎡,,平层,,73.52㎡,,板塔结合,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
金地格林春晓二三期,90,['金湾区'],,3室2厅1厨2卫,,高楼层(共28层),,90.7㎡,,平层,,68.6㎡,,板塔结合,,南北,,框架结构,,毛坯,,两梯四户,,有,,,,,,,,,,,,,
龙光玖誉湾,215,['金湾区'],,4室2厅1厨2卫,,高楼层(共38层),,107.34㎡,,平层,,83.98㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
金碧丽江,65,['斗门区'],,3室2厅1厨2卫,,高楼层(共6层),,116.68㎡,,平层,,102.42㎡,,板楼,,南北,,钢混结构,,其他,,暂无数据,,无,,,,,,,,,,,,,
奥园香海美景,36,['斗门区'],,1室1厅1厨1卫,,高楼层(共17层),,32.37㎡,,平层,,22.83㎡,,板塔结合,,北,,钢混结构,,精装,,三梯二十户,,有,,,,,,,,,,,,,
路苑,188,['香洲区'],,4室2厅1厨2卫,,中楼层(共7层),,129.07㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
翠湖香山别苑,348,['高新区'],,4室2厅1厨2卫,,低楼层(共6层),,138.34㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
海怡湾畔,315,['高新区'],,4室2厅1厨3卫,,中楼层(共5层),,205.06㎡,,复式,,182.18㎡,,板塔结合,,东南,,钢结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
拱运宿舍,115,['香洲区'],,3室1厅1厨1卫,,低楼层(共6层),,75.28㎡,,平层,,68.28㎡,,暂无数据,,东,,混合结构,,其他,,暂无数据,,无,,,,,,,,,,,,,
