建筑面积,套内面积,配备电梯,复式,错层,高楼层,中楼层,板楼,塔楼,毛坯,简装,精装,卧室数,客厅数,厨房数,卫生间数,地区平均房价,价格/万
92.62,74.03,1,0,0,1,0,0,0,0,0,1,3,2,1,2,1.2652,170.0
90.7,68.6,1,0,0,1,0,0,0,1,0,0,3,2,1,2,1.2652,90.0
107.34,83.98,1,0,0,1,0,0,0,0,0,1,4,2,1,2,1.2652,215.0
116.68,102.42,0,0,0,1,0,1,0,0,0,0,3,2,1,2,0.9573,65.0
32.37,22.83,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0.9573,36.0
115.12,103.48,0,1,0,1,0,1,0,0,0,1,3,2,1,2,2.3838,180.0
90.28,73.28,1,0,0,0,1,1,0,1,0,0,3,2,1,2,0.9573,85.0
76.87,58.75,1,0,0,0,1,0,0,0,0,1,2,2,1,1,1.534,200.0
107.34,83.98,1,0,0,1,0,0,0,0,0,1,4,2,1,2,1.2652,215.0
32.37,22.83,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0.9573,36.0
115.12,103.48,0,1,0,1,0,1,0,0,0,1,3,2,1,2,2.3838,180.0
90.28,73.28,1,0,0,0,1,1,0,1,0,0,3,2,1,2,0.9573,85.0
90.06,68.92,1,0,0,0,1,0,1,0,0,1,3,2,1,1,2.3838,275.0
138.33,120.68,1,0,0,0,1,0,1,0,0,0,4,2,1,2,2.3838,418.0
66.96,52.16,1,0,0,0,1,0,1,0,0,1,2,1,1,1,2.3838,109.0
75.56,56.49,1,0,0,0,1,0,1,0,0,1,3,2,1,2,2.3838,165.0
111.66,96.29,1,0,0,1,0,1,0,0,0,1,3,2,1,2,2.3838,295.0
122.51,98.66,1,0,0,0,1,0,1,0,0,1,3,2,1,2,2.3838,360.0
116.61,95.6,1,0,0,0,1,0,0,1,0,0,4,2,1,2,1.2652,190.0
95.14,73.87,1,0,0,1,0,1,0,0,0,1,3,2,1,2,1.2652,95.0
98.0,70.35,1,1,0,0,1,1,0,0,0,1,4,2,1,2,2.3838,275.0
84.0,69.03,1,0,0,0,0,0,0,0,1,0,3,2,1,1,1.2652,96.0
88.96,72.61,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1.534,149.0
86.41,79.41,0,0,0,1,0,0,0,0,1,0,3,2,1,1,2.3838,125.0
85.8,66.68,1,0,0,1,0,0,0,0,0,1,3,2,1,1,0.9573,102.0
91.13,81.55,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1.2652,85.0
61.03,46.41,1,0,0,0,1,0,1,0,1,0,2,1,1,1,2.3838,157.0
89.14,78.78,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1.2652,70.0
35.83,25.05,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1.2652,25.0
96.0,77.82,1,0,0,0,1,0,0,0,0,1,4,2,1,2,0.9573,92.0
90.13,72.89,1,0,0,1,0,1,0,0,0,1,3,2,1,1,0.9573,82.0
66.22,58.77,1,0,0,1,0,0,0,0,1,0,2,1,1,1,2.3838,122.0
94.35,80.0,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,170.0
92.91,70.09,1,0,0,1,0,1,0,0,0,1,3,2,1,2,2.3838,195.0
124.2,96.08,1,0,0,0,1,0,0,0,0,1,4,2,1,2,1.2652,220.0
109.0,90.87,1,0,0,0,1,1,0,0,1,0,3,2,1,2,2.3838,250.0
114.44,95.49,1,0,0,0,1,1,0,0,0,1,3,2,1,1,2.3838,205.0
82.5,64.34,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1.534,190.0
188.04,158.53,1,0,0,0,1,0,1,0,0,1,5,2,1,3,2.3838,310.0
